Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,O2-AV,F4-AV,C4-AV,P4-AV,O2-AV.1,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-18.92,-38.09,-22.89,5.68,-17.5,-17.87,-6.44,27.8,30.22,76.81,16.91,-62.13,26.53,-15.94,4.92,0.86,26.53,3.99,-11.29,-2.13,10.04,9.21
-11.6,-33.45,-14.39,-6.15,-6.8,-13.03,-2.71,33.89,36.44,81.55,25.16,-181.5,30.74,3.91,14.07,9.76,30.74,1.32,-2.62,6.11,14.08,14.93
-7.37,-31.61,-9.02,-19.63,-2.54,-12.62,-1.95,35.23,40.4,81.46,30.16,-225.38,32.66,20.31,19.61,13.6,32.66,-6.94,0.82,10.25,14.31,17.93
-7.68,-34.34,-8.8,-30.92,-6.38,-17.24,-5.13,31.59,40.17,76.48,31.09,-178.51,31.87,28.46,19.93,12.79,31.87,-17.61,-2.06,9.05,10.29,16.58
-12.5,-41.55,-13.87,-36.95,-16.75,-25.34,-11.93,24.73,35.73,68.02,28.32,-58.91,28.34,25.82,15.71,8.54,28.34,-26.69,-9.95,3.22,3.53,12.02
-19.76,-50.3,-21.67,-35.75,-30.76,-33.87,-20.41,17.8,28.21,60.02,23.61,89.43,23.53,12.13,8.59,0.42,23.53,-30.36,-19.97,-5.12,-3.31,7.05
-26.4,-57.5,-28.88,-28.75,-42.68,-39.86,-28.19,12.89,20.12,54.59,20.14,208.32,19.57,-6.66,2.04,-7.15,19.57,-27.16,-28.14,-12.25,-8.57,3.99
-29.56,-61.4,-33.28,-19.42,-48.44,-41.48,-32.81,11.83,13.72,53.24,21.25,252.86,18.12,-22.19,-0.63,-10.41,18.12,-18.66,-31.59,-15.14,-11.18,4.65
-27.66,-61.46,-33.1,-11.28,-46.55,-38.08,-32.61,15.74,10.37,56.18,28.56,206.43,20.12,-29.65,2.25,-8.77,20.12,-8.14,-28.91,-12.97,-10.16,9.11
-21.89,-58.46,-29.3,-7.2,-38.39,-30.99,-27.61,24.02,10.87,62.22,41.29,87.56,25.21,-26.36,9.67,-3.72,25.21,0.27,-21.09,-6.27,-6.48,16.18
-15.65,-54.16,-24.7,-9.34,-26.53,-23.07,-20.61,33.0,14.49,68.52,57.11,-60.37,31.84,-12.13,19.95,5.13,31.84,3.02,-11.01,3.31,-2.29,23.13
-11.18,-49.98,-21.0,-16.87,-16.62,-17.67,-14.25,39.39,19.63,72.94,71.57,-179.04,37.35,6.25,29.25,12.59,37.35,-0.95,-2.61,11.96,0.92,27.96
-8.99,-47.75,-20.06,-26.56,-12.53,-16.59,-10.59,41.05,23.76,73.09,78.31,-222.48,39.35,21.3,33.99,15.34,39.35,-10.02,0.82,16.36,2.02,29.91
-10.3,-49.03,-22.76,-34.84,-15.48,-20.22,-10.61,37.33,24.98,68.7,73.1,-174.8,37.31,28.82,32.75,13.66,37.31,-20.77,-1.76,15.43,-0.29,28.46
-14.86,-53.86,-28.71,-38.86,-23.99,-27.09,-13.66,30.37,23.24,60.75,57.5,-53.86,32.9,26.05,26.31,8.64,32.9,-29.25,-9.26,9.71,-6.32,23.93
-20.59,-59.42,-34.9,-36.64,-35.75,-34.34,-17.64,22.7,20.83,52.03,37.6,95.71,27.73,12.18,16.23,-0.58,27.73,-32.38,-19.17,0.45,-11.93,17.6
-25.68,-63.42,-38.49,-29.1,-45.14,-38.94,-20.66,17.01,19.71,45.73,19.62,215.48,23.99,-7.03,6.36,-9.37,23.99,-28.88,-27.2,-8.58,-16.38,10.79
-28.58,-64.45,-39.38,-19.38,-47.84,-38.97,-21.16,14.3,21.4,44.55,7.02,260.98,22.98,-23.16,0.34,-13.35,22.98,-20.12,-29.99,-13.7,-18.43,6.74
-28.36,-61.18,-36.96,-10.36,-42.4,-33.71,-18.07,16.05,25.92,47.96,0.48,215.43,25.48,-31.13,0.13,-11.97,25.48,-9.06,-26.23,-13.34,-16.12,7.33
-25.93,-54.83,-31.24,-5.05,-30.94,-25.21,-11.75,21.77,33.13,54.24,-0.75,97.72,31.08,-28.09,5.21,-6.55,31.08,0.32,-17.22,-8.23,-9.81,12.02
-23.07,-47.57,-25.08,-6.31,-16.5,-16.72,-4.95,29.05,41.91,60.77,1.99,-48.88,38.65,-13.77,13.65,2.67,38.65,4.4,-6.07,0.07,-2.32,18.0
-20.6,-41.55,-19.77,-13.79,-4.73,-11.25,0.3,35.14,49.65,65.92,5.8,-166.23,45.64,5.08,21.49,10.11,45.64,1.94,2.97,7.56,3.59,22.54
-20.82,-39.69,-16.65,-24.19,0.36,-10.65,2.72,37.06,54.18,67.65,8.36,-208.95,48.24,21.01,25.51,12.76,48.24,-5.5,6.95,10.97,5.98,24.48
-25.37,-42.64,-16.6,-33.58,-2.36,-14.91,1.42,33.76,53.6,64.4,7.72,-161.95,46.18,29.22,24.06,10.98,46.18,-15.0,4.66,8.91,4.19,23.23
-31.89,-48.85,-20.66,-38.81,-11.34,-22.67,-3.16,27.04,47.61,57.17,4.27,-43.08,41.64,26.5,17.89,5.56,41.64,-22.98,-3.16,1.8,-1.81,18.98
-36.94,-55.41,-27.94,-37.98,-24.09,-30.97,-8.83,19.65,37.08,49.26,1.52,104.47,36.62,12.58,8.81,-4.06,36.62,-25.73,-13.75,-8.51,-9.52,14.01
-38.58,-59.57,-35.85,-31.71,-34.95,-36.75,-13.56,13.69,25.39,43.43,2.38,221.92,32.41,-6.36,0.32,-13.05,32.41,-22.07,-22.85,-18.27,-15.91,10.24
-37.28,-60.11,-41.74,-23.17,-39.52,-38.27,-16.0,11.48,18.53,41.96,8.1,264.87,30.55,-22.08,-4.22,-17.06,30.55,-13.4,-27.16,-23.8,-20.34,8.88
-32.86,-56.53,-43.31,-16.13,-36.32,-34.92,-15.32,13.77,19.74,44.99,18.38,217.39,31.66,-29.77,-3.1,-15.64,31.66,-2.75,-25.27,-23.97,-20.92,10.94
-25.88,-49.84,-40.73,-13.5,-27.14,-28.13,-11.74,19.16,26.6,52.07,32.46,97.88,34.73,-26.57,3.0,-10.35,34.73,6.11,-18.28,-19.45,-16.22,15.88
-18.65,-42.13,-36.43,-16.87,-14.31,-20.72,-7.2,25.11,35.19,61.37,48.0,-50.95,38.08,-12.16,12.1,-1.13,38.08,9.79,-8.82,-11.93,-10.16,21.9
-13.02,-35.88,-31.55,-25.08,-3.32,-15.65,-3.47,29.36,42.75,69.22,58.68,-170.24,40.23,7.03,20.37,6.95,40.23,7.21,-0.93,-4.75,-4.97,27.18
-10.92,-33.78,-27.7,-34.96,1.65,-14.67,-2.04,29.98,46.62,72.74,60.57,-213.42,40.03,23.27,24.78,10.5,40.03,-0.21,2.02,-1.02,-3.07,29.69
-12.94,-36.9,-26.85,-43.23,-0.66,-18.32,-4.03,25.87,45.67,71.12,54.73,-166.03,37.04,31.76,23.57,9.24,37.04,-9.64,-1.26,-2.08,-5.79,28.61
-15.96,-44.53,-29.48,-47.24,-8.85,-25.11,-9.09,18.43,39.85,65.24,43.73,-47.64,31.94,29.5,17.31,4.17,31.94,-17.2,-9.53,-7.5,-12.36,24.28
-16.36,-53.57,-34.02,-44.71,-20.09,-31.69,-14.79,10.22,31.59,57.34,30.6,97.41,25.96,16.08,7.62,-5.06,25.96,-19.31,-19.91,-15.71,-19.68,18.21
-13.61,-60.04,-38.2,-36.98,-29.09,-35.35,-19.17,3.88,24.6,50.47,18.85,211.52,20.75,-2.42,-1.54,-13.67,20.75,-14.84,-28.29,-23.05,-25.61,12.01
-8.33,-61.73,-39.76,-27.55,-31.96,-34.39,-20.61,0.91,21.31,47.76,9.78,251.0,18.4,-17.96,-6.55,-17.35,18.4,-5.31,-31.22,-25.99,-28.42,8.2
-1.31,-57.92,-36.24,-19.05,-27.1,-27.91,-17.48,3.35,22.02,48.78,3.34,199.37,19.7,-25.52,-5.58,-15.54,19.7,6.25,-27.21,-23.0,-26.45,7.79
5.65,-50.48,-27.34,-14.4,-16.54,-17.85,-10.53,10.31,26.16,53.46,1.28,75.96,23.39,-22.64,0.32,-10.01,23.39,15.59,-17.76,-14.93,-20.43,10.92
11.29,-41.83,-16.37,-15.56,-2.92,-7.51,-2.75,18.01,32.84,60.45,3.16,-75.63,27.27,-9.02,9.22,-0.99,27.27,19.02,-6.14,-4.02,-14.02,15.44
15.31,-34.56,-6.85,-21.39,8.16,0.17,3.84,23.1,39.28,66.52,6.65,-196.18,28.93,8.93,17.08,5.99,28.93,15.6,3.14,5.48,-8.85,19.44
16.45,-30.87,-2.19,-28.72,12.79,3.07,7.41,24.31,43.24,68.9,9.03,-240.51,27.33,23.31,20.52,7.75,27.33,7.03,6.78,10.31,-6.3,20.3
13.88,-33.0,-3.28,-34.83,9.76,0.76,6.78,20.19,44.54,66.38,8.62,-193.81,22.27,29.75,18.09,4.69,22.27,-3.67,3.68,9.31,-7.59,17.42
9.73,-38.53,-7.65,-36.98,0.6,-5.25,2.45,11.0,43.45,58.21,5.39,-75.21,13.26,25.59,10.47,-2.0,13.26,-12.77,-4.83,3.06,-11.86,11.94
5.74,-44.48,-12.21,-33.11,-12.0,-11.93,-3.23,0.06,40.55,48.31,0.41,71.67,2.72,10.26,-0.25,-12.46,2.72,-16.82,-15.83,-6.58,-17.2,6.38
2.57,-48.49,-15.85,-23.98,-22.36,-16.06,-7.88,-8.33,36.5,41.23,-4.4,188.79,-5.54,-9.96,-9.89,-21.57,-5.54,-14.35,-24.78,-15.73,-21.88,2.05
0.64,-48.89,-16.72,-12.79,-26.07,-15.93,-9.67,-11.57,32.63,40.02,-7.17,231.51,-9.09,-26.6,-14.99,-25.37,-9.09,-6.53,-28.23,-20.69,-24.27,-0.06
0.85,-44.7,-13.32,-3.26,-21.68,-11.07,-7.6,-9.64,31.69,45.37,-6.72,183.11,-8.73,-34.35,-13.89,-23.4,-8.73,3.66,-24.75,-19.93,-22.34,0.98
3.17,-37.25,-5.4,1.21,-11.35,-3.15,-2.1,-4.23,35.0,54.51,-3.06,63.4,-6.34,-30.73,-7.47,-17.29,-6.34,12.25,-15.96,-14.31,-15.34,4.69
5.79,-29.58,5.12,-1.36,1.94,4.89,4.38,2.65,41.02,63.0,3.27,-84.45,-2.82,-15.81,2.1,-7.21,-2.82,15.51,-4.86,-5.56,-7.79,10.05
6.96,-23.38,16.26,-9.52,12.37,9.95,9.67,8.29,46.69,67.41,10.28,-201.46,0.17,3.35,10.83,1.5,0.17,12.07,3.94,2.33,-2.8,15.4
5.4,-20.42,23.3,-19.75,16.26,10.1,11.8,10.25,49.74,65.82,14.61,-242.11,0.92,18.91,15.33,5.77,0.92,3.25,7.3,6.22,-0.53,18.01
1.36,-21.4,21.73,-27.92,12.83,5.02,9.77,8.08,49.04,58.53,13.33,-191.02,-1.19,26.4,14.15,5.4,-1.19,-7.58,4.2,4.94,-2.23,16.53
-3.88,-25.93,13.0,-31.43,3.79,-3.44,4.23,3.15,44.25,47.34,6.46,-67.6,-5.19,23.06,7.97,1.03,-5.19,-16.4,-3.93,-0.86,-7.21,11.49
-8.24,-31.07,1.86,-28.45,-8.3,-12.22,-2.33,-2.17,36.37,36.01,-3.31,82.75,-9.05,8.66,-1.48,-7.85,-9.05,-19.83,-14.41,-9.65,-12.74,5.46
-11.07,-34.72,-7.67,-19.98,-17.96,-18.12,-7.66,-5.91,28.27,27.74,-11.75,200.96,-11.11,-10.4,-10.43,-16.1,-11.11,-16.53,-22.98,-17.78,-17.17,0.5
-12.37,-35.95,-13.25,-9.27,-21.16,-19.34,-9.98,-6.69,23.16,24.38,-15.13,242.56,-10.39,-25.62,-15.29,-19.27,-10.39,-8.04,-26.27,-21.77,-18.47,-1.6
-11.4,-34.17,-13.87,0.39,-16.63,-15.43,-8.25,-2.73,22.78,25.77,-12.0,191.89,-6.13,-32.24,-14.08,-17.14,-6.13,2.51,-22.85,-20.17,-15.97,0.01
-8.19,-29.88,-10.26,6.08,-6.49,-8.09,-3.31,5.0,25.84,30.38,-3.18,69.9,0.85,-27.78,-7.62,-10.88,0.85,11.28,-14.07,-13.64,-10.38,4.7
-4.21,-24.87,-4.91,5.47,6.36,-0.57,2.45,12.91,30.83,36.42,9.3,-79.69,7.55,-11.89,1.87,-0.52,7.55,14.79,-2.94,-4.27,-4.25,10.45
-0.29,-21.2,-0.57,-0.81,16.15,3.85,6.69,18.61,35.38,41.68,22.71,-198.13,12.26,8.45,10.32,8.59,12.26,11.61,5.97,3.72,0.1,15.3
2.17,-19.67,-0.53,-10.27,19.02,3.53,7.62,19.49,37.47,43.6,31.89,-239.57,14.08,25.36,14.73,12.97,14.08,3.14,9.49,7.44,1.28,17.24
0.61,-22.78,-5.62,-18.64,14.32,-1.62,5.06,15.7,35.98,41.04,32.64,-189.01,12.97,33.77,14.01,12.72,12.97,-7.64,6.44,6.07,-1.42,15.77
-4.68,-29.47,-14.12,-22.74,3.64,-9.79,-0.13,8.83,31.48,34.85,26.39,-66.1,9.64,30.65,8.73,8.37,9.64,-16.86,-1.73,0.2,-8.22,11.2
-11.05,-36.35,-22.94,-20.62,-10.2,-17.97,-5.45,1.19,25.48,27.46,16.63,84.55,5.6,15.41,0.57,-0.46,5.6,-20.95,-12.06,-8.28,-16.11,5.49
-15.66,-40.18,-29.69,-13.19,-21.66,-23.14,-9.15,-4.27,19.87,21.17,7.21,203.77,2.65,-5.36,-7.13,-9.01,2.65,-18.65,-20.59,-15.87,-21.66,0.46
-17.2,-39.57,-32.2,-3.4,-26.29,-23.72,-9.77,-5.47,16.08,18.21,1.66,246.85,2.32,-22.82,-10.88,-13.15,2.32,-11.24,-24.04,-19.31,-24.44,-1.84
-15.35,-34.49,-29.59,5.35,-22.83,-19.5,-6.28,-1.42,16.22,20.74,1.17,197.53,4.64,-31.62,-8.88,-12.25,4.64,-1.58,-21.03,-17.26,-22.63,-1.25
-11.03,-26.92,-22.72,9.29,-13.37,-12.08,0.7,6.35,20.99,27.34,5.49,76.48,9.19,-29.03,-1.97,-7.41,9.19,6.76,-12.85,-10.44,-16.64,1.64
-6.33,-20.0,-13.97,5.92,-0.59,-4.55,8.32,14.6,28.36,34.4,13.28,-72.36,14.45,-14.77,7.77,1.52,14.45,10.08,-2.56,-0.68,-8.92,5.76
-2.49,-14.49,-4.58,-3.61,9.54,0.16,14.11,20.03,34.93,38.7,21.94,-190.24,17.96,4.19,16.19,9.0,17.96,6.87,5.48,7.86,-1.46,9.6
-0.54,-12.13,2.96,-15.97,13.04,0.22,15.88,21.34,37.79,38.92,29.37,-232.19,18.27,19.69,19.65,11.34,18.27,-1.53,7.94,11.57,2.93,11.24
-1.76,-15.6,5.56,-26.74,9.17,-4.77,12.92,18.29,36.33,34.57,34.38,-183.11,15.23,27.4,16.77,8.71,15.23,-12.13,3.54,9.41,2.23,9.58
-5.88,-23.04,1.58,-32.41,-0.13,-13.11,6.22,11.56,30.8,27.16,35.95,-62.45,9.98,24.77,8.82,2.22,9.98,-20.46,-5.96,2.29,-2.76,4.99
-10.55,-30.35,-5.52,-30.55,-12.19,-21.38,-1.29,4.79,21.94,19.42,31.33,86.04,5.34,11.56,-1.78,-8.11,5.34,-23.13,-17.38,-7.74,-9.19,-0.93
-14.22,-34.94,-11.02,-22.66,-21.65,-26.34,-7.29,-0.3,13.24,14.24,19.87,204.37,3.54,-6.13,-11.2,-17.37,3.54,-18.83,-26.43,-16.58,-14.39,-5.66
-16.25,-35.1,-12.66,-12.05,-24.68,-26.45,-10.02,-1.38,7.67,13.7,5.28,248.07,5.62,-20.5,-16.0,-21.63,5.62,-9.23,-30.1,-20.79,-16.64,-6.75
-15.56,-30.45,-9.67,-2.19,-20.42,-21.7,-8.54,3.44,7.15,18.86,-5.71,200.58,11.58,-27.11,-14.88,-21.34,11.58,1.83,-27.71,-19.56,-14.66,-3.94
-11.58,-22.3,-3.36,3.68,-10.78,-13.97,-3.8,11.83,12.07,27.9,-8.74,82.13,19.48,-23.64,-8.82,-17.87,19.48,10.24,-20.92,-13.94,-9.15,1.6
-6.22,-14.22,2.66,3.53,1.94,-6.2,1.88,21.49,20.45,37.27,-4.94,-63.9,27.29,-9.59,0.39,-10.92,27.29,12.84,-12.25,-5.56,-3.8,8.1
-2.51,-9.53,6.46,-1.82,12.03,-1.18,6.58,28.72,29.22,44.38,1.79,-178.04,32.86,8.48,8.76,-5.33,32.86,8.68,-5.67,1.75,0.22,14.3
-2.98,-9.55,6.71,-9.18,15.89,-0.36,8.62,30.52,35.06,46.3,7.79,-215.53,33.78,23.03,12.91,-3.98,33.78,-0.44,-3.96,4.86,2.19,18.41
-7.99,-13.46,2.78,-14.96,12.56,-4.12,7.15,26.4,35.92,41.57,11.32,-162.62,29.46,29.4,10.99,-7.27,29.46,-11.59,-8.29,2.63,0.9,19.26
-14.26,-18.08,-4.56,-16.67,3.42,-11.04,2.32,18.38,32.17,32.01,12.01,-40.28,22.16,24.65,3.3,-14.72,22.16,-21.17,-17.7,-4.91,-3.36,16.47
-17.74,-19.83,-12.28,-12.32,-9.16,-18.45,-3.56,9.61,26.54,22.12,9.71,106.75,14.23,8.23,-8.67,-26.8,14.23,-25.63,-29.58,-16.18,-7.75,11.04
-17.04,-17.55,-17.4,-2.37,-19.44,-23.13,-8.27,2.66,21.32,15.03,6.26,219.9,7.33,-13.14,-20.38,-38.3,7.33,-23.54,-39.34,-27.01,-10.72,5.36
-13.12,-12.16,-17.88,9.64,-23.02,-23.23,-9.78,-0.01,19.38,13.52,4.08,255.77,3.06,-30.73,-27.62,-44.48,3.06,-16.03,-43.41,-33.29,-12.51,2.09
-7.04,-3.9,-12.46,20.22,-18.76,-18.08,-7.06,3.26,21.23,17.93,3.81,199.54,2.86,-39.79,-28.53,-44.83,2.86,-6.21,-40.53,-33.81,-9.18,1.55
0.51,6.72,-2.39,26.57,-8.06,-9.25,-0.81,10.06,25.72,25.55,5.33,72.85,5.42,-37.46,-23.82,-40.3,5.42,2.15,-31.91,-29.02,-1.52,3.75
7.83,17.34,9.03,26.62,6.35,0.24,6.54,18.05,31.1,31.64,7.49,-80.01,10.12,-23.42,-15.41,-31.14,10.12,5.53,-20.6,-20.74,6.76,6.85
14.03,26.66,19.52,21.69,18.39,7.0,12.76,24.19,35.35,33.1,7.28,-200.52,14.29,-4.59,-7.32,-23.04,14.29,2.69,-10.89,-13.01,14.17,8.39
17.95,32.61,26.74,14.33,24.02,8.74,15.72,25.07,35.9,28.89,4.95,-244.01,14.62,11.22,-3.04,-19.24,14.62,-4.99,-6.15,-9.21,18.52,7.43
17.52,32.72,28.51,7.68,21.88,5.05,14.46,19.62,31.02,20.0,3.02,-195.81,10.24,19.52,-4.25,-19.64,10.24,-14.53,-7.77,-10.44,17.65,3.66
12.5,28.79,24.57,4.4,13.17,-2.57,9.55,10.31,22.39,8.91,1.63,-76.48,2.71,17.28,-10.23,-23.52,2.71,-22.32,-14.59,-15.99,12.09,-2.47
5.36,23.55,17.86,6.47,0.21,-10.78,3.37,0.99,13.77,-1.19,-0.63,69.74,-4.9,3.98,-19.4,-31.41,-4.9,-25.08,-23.8,-24.23,5.42,-9.18
-0.1,19.47,11.36,12.85,-11.13,-16.56,-2.02,-5.86,8.07,-7.5,-3.78,184.41,-10.1,-14.05,-27.84,-38.73,-10.1,-21.34,-31.31,-31.41,0.15,-14.51
-1.63,18.6,7.83,20.74,-16.29,-17.87,-4.96,-8.06,6.76,-9.13,-5.83,223.48,-11.63,-28.76,-32.19,-41.46,-11.63,-12.57,-33.98,-34.07,-2.2,-16.81
2.01,22.0,8.61,26.87,-13.52,-14.31,-4.45,-4.72,10.62,-5.84,-5.31,171.22,-8.98,-35.55,-30.64,-39.5,-8.98,-1.77,-30.23,-31.09,-0.76,-14.73
9.08,28.17,13.28,28.56,-4.76,-7.42,-0.96,2.45,19.01,1.08,-2.92,49.23,-2.95,-31.78,-24.23,-33.93,-2.95,7.04,-21.41,-23.18,4.66,-8.96
17.07,35.18,20.09,24.36,7.29,-0.03,3.68,9.69,29.57,8.57,-0.06,-99.23,3.62,-17.28,-15.03,-24.57,3.62,10.32,-10.46,-12.18,11.78,-2.38
23.65,40.72,26.21,15.59,16.63,4.64,7.08,15.0,38.89,14.52,1.5,-215.2,8.9,1.04,-6.88,-16.88,8.9,7.05,-1.72,-2.19,17.94,3.34
30.2,39.92,26.11,-1.29,17.95,-1.24,-27.65,19.51,48.01,21.11,4.81,-249.65,14.94,19.35,0.93,-10.17,14.94,2.32,5.13,7.04,21.86,10.53
34.33,27.79,15.98,-24.57,8.45,-21.21,-88.08,22.21,55.74,27.04,9.99,-187.9,21.25,33.09,7.03,-4.01,21.25,-0.63,9.04,14.63,22.13,17.49
33.35,6.53,-1.3,-44.84,-10.14,-47.78,-139.88,22.05,59.89,29.63,13.73,-54.77,25.44,36.31,8.85,-0.79,25.44,-1.48,8.17,17.73,17.91,21.15
28.53,-17.15,-20.32,-55.41,-32.99,-72.94,-168.36,20.25,60.19,29.21,14.24,102.96,27.66,26.52,6.28,-2.77,27.66,0.99,3.31,15.91,11.83,21.98
23.5,-37.63,-36.74,-56.08,-52.31,-91.42,-173.58,18.83,57.95,27.22,13.02,225.9,29.42,9.67,2.46,-5.98,29.42,7.36,-1.83,12.35,6.38,21.69
20.01,-50.86,-47.84,-50.46,-62.73,-100.78,-161.09,19.37,55.99,26.16,13.22,269.98,32.02,-5.75,1.04,-6.49,32.02,16.44,-4.13,10.38,3.72,22.04
18.93,-55.0,-51.57,-43.1,-62.71,-101.1,-136.97,23.95,55.7,27.89,17.89,219.8,36.1,-14.29,3.89,-3.82,36.1,25.45,-2.16,11.72,5.22,24.3
19.54,-51.81,-46.77,-38.22,-54.36,-94.69,-106.96,31.75,57.08,31.25,27.1,97.67,41.07,-13.04,10.52,0.98,41.07,30.91,3.32,16.13,10.35,28.41
20.95,-44.21,-35.42,-38.93,-40.88,-85.17,-76.99,39.03,59.07,33.53,37.19,-51.97,45.34,-1.36,19.07,8.37,45.34,29.97,10.11,22.55,16.82,33.13
22.43,-35.07,-20.52,-44.83,-28.72,-76.28,-50.83,42.88,59.15,33.91,42.63,-169.32,47.04,14.35,26.06,13.62,47.04,22.43,14.61,27.43,22.77,36.5
22.69,-27.12,-8.09,-52.61,-22.3,-70.86,-31.42,42.39,55.4,30.41,41.28,-209.08,45.42,26.89,28.55,14.13,45.42,10.09,14.06,28.02,25.58,36.89
20.57,-22.3,-2.34,-58.05,-23.04,-70.06,-19.77,36.75,48.12,22.05,34.52,-157.44,40.43,31.76,25.19,10.13,40.43,-3.71,7.45,23.36,23.17,33.63
16.22,-20.33,-4.71,-58.05,-29.67,-72.57,-14.56,27.4,37.9,11.44,24.93,-36.15,32.99,26.05,16.85,2.55,32.99,-15.0,-3.63,14.29,16.69,27.66
11.57,-18.6,-13.35,-51.13,-39.73,-75.19,-12.52,17.11,25.81,1.63,15.86,110.04,25.12,9.46,5.73,-8.39,25.12,-20.12,-16.16,2.8,9.18,21.23
7.76,-15.66,-24.82,-39.08,-47.9,-75.29,-11.2,9.57,14.16,-5.62,9.75,223.3,20.26,-11.38,-4.27,-17.78,20.26,-18.09,-26.34,-7.37,3.84,16.42
5.27,-10.58,-34.73,-25.11,-49.99,-71.47,-8.48,6.54,7.63,-7.92,7.87,259.75,18.78,-27.76,-10.03,-22.0,18.78,-10.85,-31.16,-12.86,2.62,14.63
5.06,-2.33,-38.15,-12.47,-44.41,-62.95,-2.98,8.22,7.96,-5.19,10.72,203.5,19.5,-34.76,-10.04,-20.97,19.5,-1.55,-29.3,-12.64,5.45,17.43
6.54,7.81,-34.05,-4.03,-33.08,-51.25,5.32,13.43,13.96,0.47,16.72,77.08,22.56,-30.37,-5.09,-16.23,22.56,5.88,-22.16,-7.49,11.18,22.83
8.8,17.91,-26.97,-1.7,-18.83,-39.36,14.21,19.23,22.62,7.72,24.13,-74.9,25.71,-14.94,2.8,-7.71,25.71,8.06,-12.73,0.56,17.45,28.03
10.76,26.14,-21.04,-4.54,-7.26,-30.03,22.14,23.81,30.04,13.07,29.13,-192.95,27.33,4.33,9.62,-1.07,27.33,3.84,-5.11,7.81,23.15,31.02
12.04,30.79,-18.71,-10.39,-2.06,-25.1,27.36,24.24,33.69,13.84,27.74,-232.49,26.26,19.36,12.22,0.6,26.26,-5.17,-2.22,11.48,26.16,30.43
12.26,30.27,-20.58,-15.72,-4.35,-25.02,28.67,18.9,32.94,9.66,18.2,-179.56,22.31,25.74,9.26,-2.54,22.31,-16.02,-5.39,10.06,24.35,26.48
10.95,25.2,-25.48,-16.43,-12.52,-28.39,26.7,9.78,28.7,2.16,3.51,-56.66,16.64,21.03,1.43,-9.32,16.64,-24.91,-13.48,3.97,17.74,19.37
8.71,19.13,-30.85,-9.72,-24.12,-32.28,24.05,0.19,22.27,-6.28,-11.48,90.46,10.24,5.28,-9.37,-19.65,10.24,-28.28,-23.61,-5.06,9.07,11.47
7.42,15.32,-34.27,2.97,-33.28,-33.49,22.58,-7.54,15.63,-12.9,-23.09,202.97,4.57,-14.85,-19.24,-28.81,4.57,-25.19,-31.83,-13.33,1.71,4.86
7.41,15.09,-34.18,17.21,-35.86,-30.35,23.73,-11.16,10.71,-14.72,-28.62,237.92,2.41,-31.57,-24.73,-32.84,2.41,-17.36,-35.2,-17.58,-1.34,1.14
8.99,18.66,-29.29,28.53,-30.68,-22.33,28.19,-9.16,9.87,-9.63,-26.83,180.29,4.6,-39.9,-24.07,-31.55,4.6,-7.7,-32.26,-16.4,-0.01,0.63
12.49,25.78,-19.68,30.94,-19.49,-11.2,35.7,-3.22,14.49,-0.82,-19.55,52.94,8.3,-36.77,-17.87,-26.08,8.3,0.4,-23.94,-10.42,4.8,3.24
16.55,34.64,-7.22,22.99,-4.87,0.28,44.06,4.43,22.02,7.21,-10.47,-99.69,11.89,-22.19,-8.42,-16.76,11.89,3.29,-13.2,-1.37,10.37,6.52
19.66,42.38,5.39,8.79,6.95,8.98,51.07,11.22,27.78,12.37,-3.55,-218.2,14.06,-3.72,0.29,-9.02,14.06,-0.39,-4.55,6.24,14.63,9.64
20.08,45.58,15.34,-6.94,11.93,12.88,54.75,14.32,28.44,12.88,-1.09,-257.43,13.72,10.77,5.19,-5.76,13.72,-9.11,-0.86,9.27,15.84,10.18
16.99,43.1,20.62,-19.1,8.89,11.33,54.09,12.47,23.35,7.54,-3.33,-203.89,10.31,16.91,4.39,-6.76,10.31,-19.7,-3.55,6.73,12.66,7.01
11.35,36.54,21.06,-24.29,-0.46,6.04,49.55,7.05,14.62,-2.01,-9.19,-80.16,4.24,12.39,-1.57,-11.58,4.24,-28.25,-11.32,-0.81,5.96,1.07
4.63,29.05,18.7,-21.04,-13.24,0.1,43.54,0.28,5.11,-11.97,-15.33,68.5,-2.82,-2.57,-10.94,-20.57,-2.82,-31.31,-21.27,-11.36,-1.29,-5.89
-2.42,23.87,16.56,-10.66,-23.58,-3.49,38.57,-4.8,-2.58,-19.98,-17.89,182.61,-8.63,-21.55,-19.93,-28.96,-8.63,-27.9,-28.96,-21.2,-6.65,-12.1
-8.38,22.53,15.87,2.78,-27.58,-2.99,36.57,-5.8,-5.76,-23.98,-15.35,218.79,-10.6,-36.53,-25.03,-32.54,-10.6,-19.54,-31.32,-26.72,-8.34,-15.74
-10.83,25.11,17.71,14.87,-23.84,2.25,38.34,-1.56,-3.19,-21.98,-8.76,162.75,-8.37,-42.68,-24.37,-30.87,-8.37,-9.05,-26.95,-26.52,-5.91,-15.89
-9.92,29.58,22.65,22.06,-14.25,10.65,43.05,6.91,3.45,-14.79,-2.46,38.04,-2.97,-37.17,-18.76,-24.97,-2.97,0.02,-17.18,-21.29,-0.06,-12.51
